"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês","Geral, grupo, subgrupo, item e subitem","","Variável"
"Mês","Geral, grupo, subgrupo, item e subitem","","IPCA - Variação mensal (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)","IPCA - Peso mensal (%)"
"janeiro 2022","1112025.Pão de queijo","Brasil","0.93","0.93","11.54","0.0268"
"janeiro 2022","1113.Óleos e gorduras","Brasil","1.50","1.50","10.11","0.5010"
"janeiro 2022","1113013.Óleo de soja","Brasil","1.43","1.43","6.80","0.3275"
"janeiro 2022","1113014.Azeite de oliva","Brasil","1.46","1.46","8.60","0.0662"
"janeiro 2022","1113040.Margarina","Brasil","1.75","1.75","22.75","0.1073"
"janeiro 2022","1114.Bebidas e infusões","Brasil","1.93","1.93","14.91","1.6310"
"janeiro 2022","1114001.Suco de frutas","Brasil","-0.05","-0.05","1.32","0.1194"
"janeiro 2022","1114003.Polpa de fruta (congelada)","Brasil","-0.18","-0.18","9.22","0.0128"
"janeiro 2022","1114004.Açaí (emulsão)","Brasil","10.86","10.86","-4.39","0.0540"
"janeiro 2022","1114022.Café moído","Brasil","4.75","4.75","56.87","0.3993"
"janeiro 2022","1114023.Café solúvel","Brasil","2.09","2.09","13.81","0.0083"
"janeiro 2022","1114083.Refrigerante e água mineral","Brasil","0.76","0.76","6.78","0.4772"
"janeiro 2022","1114084.Cerveja","Brasil","0.42","0.42","7.83","0.3910"
"janeiro 2022","1114085.Outras bebidas alcoólicas","Brasil","5.21","5.21","4.70","0.0325"
"janeiro 2022","1114087.Vinho","Brasil","0.41","0.41","2.69","0.0646"
"janeiro 2022","1114090.Suco em pó","Brasil","-0.41","-0.41","0.71","0.0449"
"janeiro 2022","1114091.Chá mate (erva mate)","Brasil","-1.92","-1.92","1.54","0.0269"
"janeiro 2022","1115.Enlatados e conservas","Brasil","1.22","1.22","8.80","0.1533"
"janeiro 2022","1115013.Alimento infantil","Brasil","3.62","3.62","4.36","0.0018"
"janeiro 2022","1115016.Palmito em conserva","Brasil","0.90","0.90","5.83","0.0185"
"janeiro 2022","1115017.Pepino em conserva","Brasil","1.77","1.77","9.91","0.0041"
"janeiro 2022","1115039.Sardinha em conserva","Brasil","1.70","1.70","13.39","0.0442"
"janeiro 2022","1115050.Salsicha em conserva","Brasil","1.01","1.01","-1.96","0.0014"
"janeiro 2022","1115056.Sopa desidratada","Brasil","1.07","1.07","5.67","0.0018"
"janeiro 2022","1115057.Azeitona","Brasil","1.38","1.38","8.44","0.0324"
"janeiro 2022","1115058.Milho-verde em conserva","Brasil","0.57","0.57","9.74","0.0283"
"janeiro 2022","1115075.Atum em conserva","Brasil","0.81","0.81","2.97","0.0208"
"janeiro 2022","1116.Sal e condimentos","Brasil","0.49","0.49","8.83","0.3599"
"janeiro 2022","1116001.Leite de coco","Brasil","0.70","0.70","10.91","0.0021"
"janeiro 2022","1116005.Atomatado","Brasil","0.94","0.94","8.72","0.1109"
"janeiro 2022","1116010.Alho","Brasil","-0.45","-0.45","9.83","0.1136"
"janeiro 2022","1116013.Sal","Brasil","-1.49","-1.49","7.92","0.0042"
"janeiro 2022","1116022.Colorau","Brasil","6.19","6.19","10.47","0.0007"
"janeiro 2022","1116023.Caldo de tucupi","Brasil","-0.83","-0.83","10.84","0.0009"
"janeiro 2022","1116026.Fermento","Brasil","0.36","0.36","6.00","0.0056"
"janeiro 2022","1116033.Maionese","Brasil","0.87","0.87","11.65","0.0460"
"janeiro 2022","1116041.Vinagre","Brasil","-0.40","-0.40","4.05","0.0160"
"janeiro 2022","1116048.Caldo concentrado","Brasil","2.50","2.50","10.87","0.0090"
"janeiro 2022","1116071.Tempero misto","Brasil","1.32","1.32","5.97","0.0508"
"janeiro 2022","12.Alimentação fora do domicílio","Brasil","0.25","0.25","6.46","5.7305"
"janeiro 2022","1201.Alimentação fora do domicílio","Brasil","0.25","0.25","6.46","5.7305"
"janeiro 2022","1201001.Refeição","Brasil","0.44","0.44","7.74","3.5741"
"janeiro 2022","1201003.Lanche","Brasil","-0.41","-0.41","3.99","1.6508"
"janeiro 2022","1201007.Refrigerante e água mineral","Brasil","1.23","1.23","5.83","0.1188"
"janeiro 2022","1201009.Cafezinho","Brasil","3.86","3.86","6.67","0.0398"
"janeiro 2022","1201048.Cerveja","Brasil","0.74","0.74","4.93","0.2778"
"janeiro 2022","1201051.Outras bebidas alcoólicas","Brasil","0.50","0.50","-1.87","0.0067"
"janeiro 2022","1201052.Vinho","Brasil","-0.15","-0.15","12.13","0.0089"
"janeiro 2022","1201061.Doces","Brasil","-0.03","-0.03","7.48","0.0044"
"janeiro 2022","1201088.Sorvete","Brasil","0.07","0.07","9.30","0.0491"
"janeiro 2022","2.Habitação","Brasil","0.16","0.16","14.45","16.1423"
"janeiro 2022","21.Encargos e manutenção","Brasil","0.89","0.89","6.72","9.5331"
"janeiro 2022","2101.Aluguel e taxas","Brasil","0.97","0.97","6.23","7.4801"
"janeiro 2022","2101001.Aluguel residencial","Brasil","1.54","1.54","8.01","3.6214"
"janeiro 2022","2101002.Condomínio","Brasil","0.66","0.66","4.17","2.1526"
"janeiro 2022","2101004.Taxa de água e esgoto","Brasil","0.15","0.15","5.11","1.7044"
"janeiro 2022","2101012.Mudança","Brasil","0.00","0.00","36.00","0.0017"
"janeiro 2022","2103.Reparos","Brasil","0.53","0.53","9.28","1.3322"
"janeiro 2022","2103005.Ferragens","Brasil","2.32","2.32","18.81","0.0105"
"janeiro 2022","2103008.Material de eletricidade","Brasil","-0.17","-0.17","0.48","0.0143"
"janeiro 2022","2103012.Vidro","Brasil","2.32","2.32","5.70","0.0028"
"janeiro 2022","2103014.Tinta","Brasil","1.80","1.80","19.41","0.2744"
"janeiro 2022","2103032.Revestimento de piso e parede","Brasil","-0.09","-0.09","18.86","0.2692"
"janeiro 2022","2103038.Madeira e taco","Brasil","0.60","0.60","5.29","0.0147"
"janeiro 2022","2103039.Cimento","Brasil","1.20","1.20","2.95","0.0254"
"janeiro 2022","2103040.Tijolo","Brasil","-0.90","-0.90","-0.79","0.0244"
"janeiro 2022","2103041.Material hidráulico","Brasil","1.09","1.09","22.10","0.0465"
"janeiro 2022","2103042.Mão de obra","Brasil","0.23","0.23","1.68","0.5937"
"janeiro 2022","2103048.Areia","Brasil","-2.26","-2.26","6.82","0.0148"
"janeiro 2022","2103049.Pedras","Brasil","0.22","0.22","-5.03","0.0004"
"janeiro 2022","2103055.Telha","Brasil","1.04","1.04","8.40","0.0412"
"janeiro 2022","2104.Artigos de limpeza","Brasil","0.76","0.76","7.17","0.7208"
"janeiro 2022","2104003.Saco para lixo","Brasil","-2.82","-2.82","-4.23","0.0045"
"janeiro 2022","2104005.Água sanitária","Brasil","-0.02","-0.02","6.98","0.0627"
"janeiro 2022","2104008.Detergente","Brasil","0.23","0.23","9.11","0.1513"
"janeiro 2022","2104009.Sabão em pó","Brasil","1.43","1.43","6.85","0.2158"
"janeiro 2022","2104012.Desinfetante","Brasil","0.74","0.74","4.91","0.0539"
"janeiro 2022","2104015.Sabão em barra","Brasil","0.71","0.71","7.09","0.0305"
"janeiro 2022","2104016.Esponja de limpeza","Brasil","-1.67","-1.67","16.90","0.0043"
"janeiro 2022","2104019.Sabão líquido","Brasil","1.14","1.14","13.30","0.0061"
"janeiro 2022","2104020.Limpador multiuso","Brasil","1.58","1.58","7.52","0.0259"
"janeiro 2022","2104041.Papel toalha","Brasil","0.20","0.20","9.15","0.0046"
"janeiro 2022","2104085.Amaciante e alvejante","Brasil","0.71","0.71","6.46","0.1610"
"janeiro 2022","22.Combustíveis e energia","Brasil","-0.91","-0.91","28.09","6.6092"
"janeiro 2022","2201.Combustíveis (domésticos)","Brasil","-0.35","-0.35","31.70","1.5386"
"janeiro 2022","2201003.Carvão vegetal","Brasil","0.27","0.27","4.31","0.0057"
"janeiro 2022","2201004.Gás de botijão","Brasil","-0.73","-0.73","31.78","1.3840"
"janeiro 2022","2201005.Gás encanado","Brasil","3.13","3.13","32.23","0.1489"
"janeiro 2022","2202.Energia elétrica residencial","Brasil","-1.07","-1.07","27.02","5.0706"
"janeiro 2022","2202003.Energia elétrica residencial","Brasil","-1.07","-1.07","27.02","5.0706"
"janeiro 2022","3.Artigos de residência","Brasil","1.82","1.82","13.13","3.8728"
"janeiro 2022","31.Móveis e utensílios","Brasil","1.66","1.66","13.39","1.7644"
"janeiro 2022","3101.Mobiliário","Brasil","2.41","2.41","16.78","1.0944"
"janeiro 2022","3101002.Móvel para sala","Brasil","2.43","2.43","13.51","0.3463"
"janeiro 2022","3101003.Móvel para quarto","Brasil","2.44","2.44","18.34","0.5039"
"janeiro 2022","3101015.Móvel para copa e cozinha","Brasil","2.85","2.85","21.03","0.2010"
"janeiro 2022","3101016.Móvel infantil","Brasil","0.22","0.22","8.95","0.0258"
"janeiro 2022","3101017.Colchão","Brasil","-0.67","-0.67","4.88","0.0174"
"janeiro 2022","3102.Utensílios e enfeites","Brasil","0.20","0.20","6.80","0.4658"
"janeiro 2022","3102001.Artigos de iluminação","Brasil","0.22","0.22","4.92","0.0761"
"janeiro 2022","3102005.Tapete","Brasil","0.19","0.19","5.61","0.0583"
"janeiro 2022","3102006.Cortina","Brasil","0.55","0.55","5.37","0.0861"
"janeiro 2022","3102007.Utensílios de metal","Brasil","-0.07","-0.07","9.11","0.1662"
"janeiro 2022","3102009.Utensílios de vidro e louça","Brasil","0.62","0.62","7.27","0.0489"
"janeiro 2022","3102010.Utensílios de plástico","Brasil","1.34","1.34","4.47","0.0090"
"janeiro 2022","3102035.Flores naturais","Brasil","-4.09","-4.09","4.12","0.0059"
"janeiro 2022","3102337.Utensílios para bebê","Brasil","0.87","0.87","5.62","0.0153"
"janeiro 2022","3103.Cama, mesa e banho","Brasil","0.99","0.99","11.35","0.2042"
"janeiro 2022","3103001.Roupa de cama","Brasil","1.00","1.00","11.41","0.1989"
"janeiro 2022","3103003.Roupa de banho","Brasil","0.56","0.56","9.29","0.0053"
"janeiro 2022","32.Aparelhos eletroeletrônicos","Brasil","2.15","2.15","13.76","1.7839"
"janeiro 2022","3201.Eletrodomésticos e equipamentos","Brasil","2.86","2.86","15.06","0.9221"
"janeiro 2022","3201001.Refrigerador","Brasil","3.83","3.83","21.37","0.3670"
"janeiro 2022","3201002.Ar-condicionado","Brasil","2.45","2.45","2.51","0.0999"
"janeiro 2022","3201006.Máquina de lavar roupa","Brasil","1.72","1.72","14.16","0.2547"
"janeiro 2022","3201013.Ventilador","Brasil","2.46","2.46","8.69","0.0193"
"janeiro 2022","3201021.Fogão","Brasil","2.83","2.83","12.52","0.1740"
"janeiro 2022","3201050.Chuveiro elétrico","Brasil","1.84","1.84","14.89","0.0072"
"janeiro 2022","3202.Tv, som e informática","Brasil","1.38","1.38","12.39","0.8618"
"janeiro 2022","3202001.Televisor","Brasil","1.27","1.27","18.89","0.5334"
"janeiro 2022","3202003.Aparelho de som","Brasil","0.87","0.87","3.38","0.0117"
"janeiro 2022","3202008.Videogame (console)","Brasil","0.51","0.51","21.58","0.0034"
"janeiro 2022","3202028.Computador pessoal","Brasil","1.59","1.59","3.07","0.3133"
"janeiro 2022","33.Consertos e manutenção","Brasil","0.83","0.83","8.43","0.3245"
"janeiro 2022","3301.Consertos e manutenção","Brasil","0.83","0.83","8.43","0.3245"
"janeiro 2022","3301002.Conserto de refrigerador","Brasil","1.55","1.55","10.46","0.0155"
"janeiro 2022","3301006.Conserto de televisor","Brasil","-0.66","-0.66","-2.49","0.0018"
"janeiro 2022","3301015.Conserto de máquina de lavar roupa","Brasil","2.45","2.45","3.62","0.0043"
